Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,Optimized_Position,Optimized_Turnover,Optimized_Transaction_Cost,Optimized_Gross_Return,Optimized_Net_Return,Optimized_Portfolio_Value
2024-12-05,24600.86957888008,24551.246,-1,0.0071228300708452,0.0071228300708452,0.0071228300708452,0.0071228300708452,-0.0020171473500547,0.2,2.0,0.002,-0.0005754339858309,85211.06852008306,0.0019789241177177,0.6000012159643922,0.19999989221989417,0.00019999989221989418,0.004273706703614857,0.004073706811394962,98276.55096637327
2024-12-06,24648.415676963665,24774.686,1,0.0019326998962834,0.0019326998962834,0.0019326998962834,-0.0019326998962834,0.0051228575779963,0.5,2.0,0.002,-0.0029663499481417,84958.30267139743,-0.0020171473500547,0.4000018323424226,0.19999938362196956,0.00019999938362196958,0.0007730834998813702,0.0005730841162594006,98332.87169673287
2024-12-09,24630.23578878556,24827.988,1,-0.0007375682241148,-0.0007375682241148,-0.0007375682241148,-0.0007375682241148,0.008028839549497,0.5,0.0,0.0,-0.0003687841120574,84926.97139918484,0.0051228575779963,0.6000018162881389,0.19999998394571628,0.00019999998394571627,-0.0004425422741052971,-0.0006425422580510134,98269.6886713122
2024-12-10,24617.760768064163,24845.291,1,-0.000506492135454,-0.000506492135454,-0.000506492135454,-0.000506492135454,0.0092425234804867,0.5,0.0,0.0,-0.000253246067727,84905.46397763403,0.008028839549497,0.8000016138868155,0.1999997975986766,0.00019999979759867658,-0.00040519452578417954,-0.0006051943233828562,98210.2164135677
2024-12-11,24632.61831330322,24836.281,1,0.0006035295159068,0.0006035295159068,0.0006035295159068,0.0006035295159068,0.0082680080577056,0.5,0.0,0.0,0.0003017647579534,84931.08545442016,0.0092425234804867,0.9999999783517676,0.19999836446495212,0.00019999836446495212,0.0006035295028414528,0.00040353113837650074,98249.84729399729
2024-12-12,24580.753460564105,24884.79,1,-0.0021055355171523,-0.0021055355171523,-0.0021055355171523,-0.0021055355171523,0.0123688860849474,1.0,0.0,0.0,-0.0021055355171523,84752.26003748557,0.0082680080577056,0.9999999521128996,2.6238867967265378e-08,2.6238867967265378e-11,-0.0021055354163243096,-0.0021055354425631775,98042.97875829335
2024-12-13,24696.664079247003,24806.234,1,0.0047155030812564,0.0047155030812564,0.0047155030812564,0.0047155030812564,0.0044366283803111,0.2,0.0,0.0,0.0009431006162512,84832.18994615562,0.0123688860849474,0.9999999863716705,3.4258770931216986e-08,3.4258770931216986e-11,0.0047155030169919706,0.004715502982733199,98505.30071706414
2024-12-16,24679.10321251332,24803.57,1,-0.0007110622988324,-0.0007110622988324,-0.0007110622988324,-0.0007110622988324,0.0050434080369488,0.5,0.0,0.0,-0.0003555311494162,84802.02946015655,0.0044366283803111,0.9999999748002422,1.1571428371048853e-08,1.1571428371048854e-11,-0.0007110622809138022,-0.0007110622924852306,98435.25731211432
2024-12-17,24467.053765530807,24801.1,1,-0.0085922671158892,-0.0085922671158892,-0.0085922671158892,-0.0085922671158892,0.013652899841165,1.0,0.0,0.0,-0.0085922671158892,84073.38777106539,0.0050434080369488,0.999999833321105,1.414791371834312e-07,1.414791371834312e-10,-0.008592265683739612,-0.00859226582521875,97589.47541471482
2024-12-18,24301.294481102534,24606.709,1,-0.0067747954460212,-0.0067747954460212,-0.0067747954460212,-0.0067747954460212,0.0125678292214007,1.0,0.0,0.0,-0.0067747954460212,83503.8077664624,0.013652899841165,0.9999999700856179,1.3676451293687109e-07,1.367645129368711e-10,-0.00677479524335738,-0.006774795380121893,96928.32668752669
