Date,Actual_Close,Predicted_Close,Signal,Market_Return,Stop_Loss_Return,Protected_Return,Strategy_Return,Prediction_Change,Position_Size,Trade,Transaction_Cost,Net_Return,Portfolio_Value,Expected_Return,MV_Position,MV_Turnover,MV_Net_Return,MV_Portfolio_Value
2025-06-24,25020.26079058264,25140.203,1,0.0015602291357206,0.0015602291357206,0.0015602291357206,0.0015602291357206,0.0047938033268825,0.2,0.0,0.0,0.0003120458271441,63199.93191715522,0.003201826460565,0.9999999877423328,0.20000000137317597,0.0013602291152226545,92519.31854072369
2025-06-25,25159.00275211016,25161.098,1,0.0055451844682508,0.0055451844682508,0.0055451844682508,0.0055451844682508,8.328024407357381e-05,0.2,0.0,0.0,0.0011090368936501,63270.02297332752,0.0047938033268825,0.999999999721795,1.1979462199995794e-08,0.005545184454728639,93032.3552276578
2025-06-26,25400.034306825,25167.191,-1,0.0095803302336625,0.0095803302336625,0.0095803302336625,0.0095803302336625,-0.0091670469422333,0.5,2.0,0.002,0.0027901651168312,63446.556784368826,8.328024407357381e-05,0.9999999984489726,1.2728224030311708e-09,0.009580330217530323,93923.63591165334
2025-06-27,25546.982069404883,25339.432,-1,0.0057853371694225,0.0057853371694225,0.0057853371694225,-0.0057853371694225,-0.0081242500128202,0.5,0.0,0.0,-0.0028926685847112,63263.02692275058,-0.0091670469422333,0.7999999829993846,0.200000015449588,0.004428269621734119,94339.55509532374
2025-06-30,25528.483515998098,25539.672,1,-0.0007240993615813,-0.0007240993615813,-0.0007240993615813,0.0007240993615813,0.0004382745255858,0.2,2.0,0.002,-0.0018551801276837,63145.66261238637,-0.0081242500128202,0.5999999792967627,0.20000000370262183,-0.000634459605660201,94279.70045839979
2025-07-01,25536.71403856097,25591.713,1,0.0003224054635957,0.0003224054635957,0.0003224054635957,0.0003224054635957,0.0021537211622442,0.2,0.0,0.0,6.44810927191486e-05,63149.73431371208,0.0004382745255858,0.5999999794656528,1.6889001308584284e-10,0.00019344327136814425,94297.93823208008
2025-07-02,25485.2233724098,25624.504,1,-0.0020163387534284,-0.0020163387534284,-0.0020163387534284,-0.0020163387534284,0.0054651523180677,0.5,0.0,0.0,-0.0010081693767142,63086.06868542935,0.0021537211622442,0.7999999804763991,0.20000000101074633,-0.0018130709643872731,94126.9693782699
2025-07-03,25435.828494604088,25677.209,1,-0.0019381771579521,-0.0019381771579521,-0.0019381771579521,-0.0019381771579521,0.0094897834936698,0.5,0.0,0.0,-0.000969088578976,63024.932696773794,0.0054651523180677,0.9999999835715407,0.20000000309514165,-0.0021381771292059773,93925.70924510383
2025-07-04,25451.38534048676,25729.074,1,0.000611611526079,0.000611611526079,0.000611611526079,0.000611611526079,0.0109105518539892,1.0,0.0,0.0,0.000611611526079,63063.47947204149,0.0094897834936698,1.000000000171552,1.660001136549738e-08,0.0006116115095839118,93983.15528992398
2025-07-07,25457.51341989188,25641.674,1,0.0002407758683127,0.0002407758683127,0.0002407758683127,0.0002407758683127,0.0072340364540168,0.5,0.0,0.0,0.0001203879341563,63071.07155405584,0.0109105518539892,1.000000001678695,1.507142854961785e-09,0.00024077586720974638,94005.78416564202
2025-07-08,25497.67733521132,25601.379,1,0.0015776841460115,0.0015776841460115,0.0015776841460115,0.0015776841460115,0.0040671024040873,0.2,0.0,0.0,0.0003155368292023,63090.97279998839,0.0072340364540168,1.0000000004310485,1.2476464306132584e-09,0.001577684145443912,94154.09560090018
2025-07-09,25484.341567244544,25643.39,1,-0.0005230189319385,-0.0005230189319385,-0.0005230189319385,-0.0005230189319385,0.0062410257818817,0.5,0.0,0.0,-0.0002615094659692,63074.473913383976,0.0040671024040873,1.0000000001448728,2.861757497640838e-10,-0.0005230189323004469,94104.85122634728
2025-07-10,25404.558591026424,25687.15,1,-0.003130666570592,-0.003130666570592,-0.003130666570592,-0.003130666570592,0.0111236496379589,1.0,0.0,0.0,-0.003130666570592,62877.00876644567,0.0062410257818817,1.0000000002079041,6.303135791085879e-11,-0.00313066657130591,93810.24031441525
2025-07-11,25247.139783125967,25513.951,1,-0.0061964787672422,-0.0061964787672422,-0.0061964787672422,-0.0061964787672422,0.0105679779636803,1.0,0.0,0.0,-0.0061964787672422,62487.39271667668,0.0111236496379589,1.0000000019231392,1.715235065091747e-09,-0.006196478780874127,93228.94715087827
2025-07-14,25145.263677295014,25332.428,1,-0.0040351543464358,-0.0040351543464358,-0.0040351543464358,-0.0040351543464358,0.0074433231286409,0.5,0.0,0.0,-0.0020175771732179,62361.319579517614,0.0105679779636803,1.000000001352185,5.709541728293743e-10,-0.004035154352463029,92852.75395900686
2025-07-15,25176.49732523218,25228.123,1,0.0012421284715089,0.0012421284715089,0.0012421284715089,0.0012421284715089,0.0020505503248094,0.2,0.0,0.0,0.0002484256943017,62376.81173363173,0.0074433231286409,1.000000000400633,9.515519483471735e-10,0.0012421284710549857,92968.08900831522
2025-07-16,25198.47056946872,25200.47,1,0.0008727681199132,0.0008727681199132,0.0008727681199132,0.0008727681199132,7.934729712135517e-05,0.2,0.0,0.0,0.0001745536239826,62387.69983217232,0.0020505503248094,1.0000000001159235,2.847095892377638e-10,0.0008727681197296648,93049.22859255386
2025-07-17,25144.688416977624,25031.697,-1,-0.0021343419372548,-0.0021343419372548,-0.0021343419372548,-0.0021343419372548,-0.0044936495176982,0.2,2.0,0.002,-0.0024268683874509,62236.29309568384,7.934729712135517e-05,0.9999999987299636,1.3859599024002023e-09,-0.002134341935930068,92850.62972186282
2025-07-18,25035.736424882067,24771.957,-1,-0.0043330022742295,-0.0043330022742295,-0.0043330022742295,0.0043330022742295,-0.0105361160704626,1.0,0.0,0.0,0.0043330022742295,62505.96309520705,-0.0044936495176982,0.7999999856584233,0.20000001307154025,-0.003666401770313056,92510.2020086759
