Date,Actual_Close,Predicted_Close
2025-04-11,22684.299665718074,22510.148
2025-04-15,23083.400180281504,22782.537
2025-04-16,23275.85838264646,22977.855
2025-04-17,23634.802278560674,23186.412
2025-04-21,23919.643711899564,23539.768
2025-04-22,24064.433784653047,23867.148
2025-04-23,24231.10879313468,24059.63
2025-04-24,24240.77155831525,24247.285
2025-04-25,24116.234424877865,24402.826
2025-04-28,24247.42968594797,24404.191
2025-04-29,24302.138247816798,24381.049
2025-04-30,24321.953043032325,24452.934
2025-05-02,24337.247023585234,24705.96
2025-05-05,24413.823517831315,24728.916
2025-05-06,24392.671979093026,24640.75
2025-05-07,24406.100875949152,24554.148
2025-05-08,24324.3349207033,24646.154
2025-05-09,24128.829187877735,24587.984
2025-05-12,24620.70391758511,24294.68
2025-05-13,24600.763706027243,24489.275
2025-05-14,24643.745486131913,24664.52
2025-05-15,24904.22376487295,24738.803
2025-05-16,24975.73159133404,24898.547
2025-05-19,24957.013101563505,25092.15
2025-05-20,24788.21627627826,25118.852
2025-05-21,24803.811144758925,24977.488
2025-05-22,24683.843318055282,24894.572
2025-05-23,24788.480850922733,24845.348
2025-05-26,24919.917856202017,24910.91
2025-05-27,24861.99655278916,24980.307
2025-05-28,24794.292576960983,25008.178
2025-05-29,24818.585658990527,24964.115
2025-05-30,24776.62953154644,25046.633
2025-06-02,24739.52899930246,24866.314
2025-06-03,24617.758380964147,24815.137
2025-06-04,24619.266901676827,24717.941
2025-06-05,24700.620871904535,24469.717
2025-06-06,24887.532835094582,24578.04
2025-06-09,25020.821990424403,24929.23
2025-06-10,25072.383335955874,25123.1
2025-06-11,25115.038221544804,25141.676
2025-06-12,24974.84400784348,25216.611
2025-06-13,24816.47626016319,25047.367
2025-06-16,24896.835350726713,24822.791
2025-06-17,24869.99106908386,24878.258
2025-06-18,24834.182001884586,25046.383
2025-06-19,24808.884633492333,24990.65
2025-06-20,24996.46768752148,24866.04
2025-06-23,24981.28426302774,25061.27
2025-06-24,25020.260790582633,25140.203
2025-06-25,25159.00275211016,25161.098
2025-06-26,25400.034306825,25167.191
2025-06-27,25546.982069404883,25339.432
2025-06-30,25528.483515998098,25539.672
2025-07-01,25536.71403856097,25591.713
2025-07-02,25485.223372409797,25624.504
2025-07-03,25435.828494604088,25677.209
